id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense
1,bulbasaur,1,0.7,6.9,64,grass,poison,45,49,49,45,65,65
2,ivysaur,1,1,13,142,grass,poison,60,62,63,60,80,80
3,venusaur,1,2,100,236,grass,poison,80,82,83,80,100,100
4,charmander,1,0.6,8.5,62,fire,,39,52,43,65,60,50
5,charmeleon,1,1.1,19,142,fire,,58,64,58,80,80,65
6,charizard,1,1.7,90.5,240,fire,flying,78,84,78,100,109,85
7,squirtle,1,0.5,9,63,water,,44,48,65,43,50,64
8,wartortle,1,1,22.5,142,water,,59,63,80,58,65,80
9,blastoise,1,1.6,85.5,239,water,,79,83,100,78,85,105
10,caterpie,1,0.3,2.9,39,bug,,45,30,35,45,20,20
11,metapod,1,0.7,9.9,72,bug,,50,20,55,30,25,25
12,butterfree,1,1.1,32,178,bug,flying,60,45,50,70,90,80
13,weedle,1,0.3,3.2,39,bug,poison,40,35,30,50,20,20
14,kakuna,1,0.6,10,72,bug,poison,45,25,50,35,25,25
15,beedrill,1,1,29.5,178,bug,poison,65,90,40,75,45,80
16,pidgey,1,0.3,1.8,50,normal,flying,40,45,40,56,35,35
17,pidgeotto,1,1.1,30,122,normal,flying,63,60,55,71,50,50
18,pidgeot,1,1.5,39.5,216,normal,flying,83,80,75,101,70,70
19,rattata,1,0.3,3.5,51,normal,,30,56,35,72,25,35
20,raticate,1,0.7,18.5,145,normal,,55,81,60,97,50,70
21,spearow,1,0.3,2,52,normal,flying,40,60,30,70,31,31
22,fearow,1,1.2,38,155,normal,flying,65,90,65,100,61,61
23,ekans,1,2,6.9,58,poison,,35,60,44,55,40,54
24,arbok,1,3.5,65,157,poison,,60,95,69,80,65,79
25,pikachu,1,0.4,6,112,electric,,35,55,40,90,50,50
26,raichu,1,0.8,30,218,electric,,60,90,55,110,90,80
27,sandshrew,1,0.6,12,60,ground,,50,75,85,40,20,30
28,sandslash,1,1,29.5,158,ground,,75,100,110,65,45,55
29,nidoran-f,1,0.4,7,55,poison,,55,47,52,41,40,40
30,nidorina,1,0.8,20,128,poison,,70,62,67,56,55,55
31,nidoqueen,1,1.3,60,227,poison,ground,90,92,87,76,75,85
32,nidoran-m,1,0.5,9,55,poison,,46,57,40,50,40,40
33,nidorino,1,0.9,19.5,128,poison,,61,72,57,65,55,55
34,nidoking,1,1.4,62,227,poison,ground,81,102,77,85,85,75
35,clefairy,1,0.6,7.5,113,fairy,,70,45,48,35,60,65
36,clefable,1,1.3,40,217,fairy,,95,70,73,60,95,90
37,vulpix,1,0.6,9.9,60,fire,,38,41,40,65,50,65
